YEAR      Total Endowment Value/World Assets      Total Government Oil Revenue/World GDP  Total Household Oil Revenue/World GDP
2008      .114095                                   .015234                                   .024131
2009      .114830                                   .015360                                   .024330
2010      .115545                                   .015465                                   .024496
2011      .115533                                   .015454                                   .024479
2012      .114359                                   .015277                                   .024198
2013      .112028                                   .014933                                   .023654
2014      .109195                                   .014515                                   .022991
2015      .106304                                   .014081                                   .022305
2016      .103548                                   .013663                                   .021642
2017      .100916                                   .013257                                   .020999
2018      .098414                                   .012869                                   .020384
2019      .096201                                   .012516                                   .019826
2020      .094329                                   .012207                                   .019336
2021      .092589                                   .011917                                   .018876
2022      .090916                                   .011640                                   .018437
2023      .089719                                   .011419                                   .018087
2024      .088801                                   .011243                                   .017809
2025      .087968                                   .011085                                   .017558
2026      .087007                                   .010916                                   .017291
2027      .085821                                   .010723                                   .016985
2028      .084408                                   .010506                                   .016642
2029      .082838                                   .010273                                   .016272
2030      .081388                                   .010056                                   .015929
2031      .079941                                   .009841                                   .015588
2032      .078578                                   .009635                                   .015262
2033      .077329                                   .009444                                   .014958
2034      .076146                                   .009259                                   .014666
2035      .074927                                   .009072                                   .014370
2036      .073596                                   .008874                                   .014056
2037      .072153                                   .008665                                   .013726
2038      .070610                                   .008448                                   .013382
2039      .069054                                   .008233                                   .013042
2040      .067514                                   .008024                                   .012710
2041      .066019                                   .007823                                   .012391
2042      .064615                                   .007635                                   .012093
2043      .063354                                   .007465                                   .011824
2044      .062275                                   .007316                                   .011589
2045      .061366                                   .007188                                   .011385
2046      .060680                                   .007084                                   .011221
2047      .060244                                   .007008                                   .011101
2048      .060065                                   .006962                                   .011028
2049      .060084                                   .006873                                   .010887
2050      .059069                                   .006791                                   .010757
2051      .058021                                   .006713                                   .010633
2052      .056910                                   .006634                                   .010508
2053      .055758                                   .006558                                   .010387
2054      .054565                                   .006482                                   .010268
2055      .053340                                   .006409                                   .010152
2056      .052095                                   .006338                                   .010040
2057      .050835                                   .006271                                   .009934
2058      .049557                                   .006207                                   .009832
2059      .048249                                   .006145                                   .009734
2060      .046904                                   .006084                                   .009637
2061      .045512                                   .006022                                   .009539
2062      .044072                                   .005959                                   .009439
2063      .042587                                   .005895                                   .009338
2064      .041060                                   .005831                                   .009236
2065      .039497                                   .005767                                   .009135
2066      .037905                                   .005706                                   .009037
2067      .036296                                   .005648                                   .008946
2068      .034674                                   .005595                                   .008863
2069      .033043                                   .005550                                   .008792
2070      .031403                                   .005514                                   .008735
2071      .029751                                   .005488                                   .008693
2072      .028070                                   .005471                                   .008667
2073      .026324                                   .005457                                   .008644
2074      .024503                                   .005444                                   .008623
2075      .022597                                   .005433                                   .008605
2076      .020596                                   .005422                                   .008588
2077      .018489                                   .005411                                   .008571
2078      .016266                                   .005401                                   .008555
2079      .013917                                   .005390                                   .008538
2080      .011435                                   .005379                                   .008520
2081      .008809                                   .005367                                   .008501
2082      .006033                                   .005353                                   .008479
2083      .003099                                   .005339                                   .008456
2084      .000000                                   .000000                                   .000000
2085      .000000                                   .000000                                   .000000
2086      .000000                                   .000000                                   .000000
2087      .000000                                   .000000                                   .000000
2088      .000000                                   .000000                                   .000000
2089      .000000                                   .000000                                   .000000
2090      .000000                                   .000000                                   .000000
2091      .000000                                   .000000                                   .000000
2092      .000000                                   .000000                                   .000000
2093      .000000                                   .000000                                   .000000
2094      .000000                                   .000000                                   .000000
2095      .000000                                   .000000                                   .000000
2096      .000000                                   .000000                                   .000000
2097      .000000                                   .000000                                   .000000
2098      .000000                                   .000000                                   .000000
2099      .000000                                   .000000                                   .000000
2100      .000000                                   .000000                                   .000000
2101      .000000                                   .000000                                   .000000
2102      .000000                                   .000000                                   .000000
2103      .000000                                   .000000                                   .000000
2104      .000000                                   .000000                                   .000000
2105      .000000                                   .000000                                   .000000
2106      .000000                                   .000000                                   .000000
2107      .000000                                   .000000                                   .000000
2108      .000000                                   .000000                                   .000000
------------------------------------------------------------------------------------    -------------------------    ------------------------------------------------------------    ----------------------------------------------    ------------------------------------------------------------
