YEAR      Total Endowment Value/World Assets      Total Government Oil Revenue/World GDP  Total Household Oil Revenue/World GDP
2008      .080182                                   .008334                                   .011533
2009      .077906                                   .008093                                   .011199
2010      .075859                                   .007863                                   .010881
2011      .073598                                   .007642                                   .010575
2012      .070865                                   .007429                                   .010280
2013      .067671                                   .007223                                   .009995
2014      .064383                                   .007025                                   .009721
2015      .061245                                   .006834                                   .009456
2016      .058339                                   .006650                                   .009202
2017      .055647                                   .006471                                   .008954
2018      .053159                                   .006298                                   .008715
2019      .050938                                   .006130                                   .008483
2020      .048998                                   .005968                                   .008258
2021      .047228                                   .005808                                   .008037
2022      .045578                                   .005655                                   .007825
2023      .044244                                   .005507                                   .007620
2024      .043124                                   .005363                                   .007421
2025      .042123                                   .005224                                   .007229
2026      .041131                                   .005090                                   .007043
2027      .040098                                   .004959                                   .006862
2028      .039011                                   .004831                                   .006685
2029      .037891                                   .004705                                   .006511
2030      .036853                                   .004582                                   .006341
2031      .035845                                   .004461                                   .006174
2032      .034893                                   .004343                                   .006010
2033      .034006                                   .004227                                   .005849
2034      .033166                                   .004113                                   .005692
2035      .032329                                   .004002                                   .005538
2036      .031461                                   .003893                                   .005387
2037      .030549                                   .003786                                   .005239
2038      .029596                                   .003682                                   .005095
2039      .028628                                   .003582                                   .004957
2040      .027659                                   .003485                                   .004823
2041      .026698                                   .003392                                   .004693
2042      .025760                                   .003302                                   .004569
2043      .024864                                   .003215                                   .004448
2044      .024022                                   .003130                                   .004332
2045      .023229                                   .003048                                   .004218
2046      .022500                                   .002969                                   .004108
2047      .021840                                   .002893                                   .004003
2048      .021244                                   .002820                                   .003902
2049      .020698                                   .002751                                   .003806
2050      .020170                                   .002684                                   .003714
2051      .019646                                   .002620                                   .003626
2052      .019116                                   .002559                                   .003541
2053      .018585                                   .002499                                   .003458
2054      .018052                                   .002441                                   .003378
2055      .017520                                   .002386                                   .003302
2056      .016991                                   .002332                                   .003227
2057      .016467                                   .002281                                   .003156
2058      .015945                                   .002231                                   .003087
2059      .015422                                   .002183                                   .003020
2060      .014894                                   .002137                                   .002957
2061      .014356                                   .002092                                   .002895
2062      .013808                                   .002050                                   .002836
2063      .013250                                   .002009                                   .002780
2064      .012682                                   .001970                                   .002725
2065      .012105                                   .001932                                   .002673
2066      .011521                                   .001896                                   .002624
2067      .010936                                   .001862                                   .002576
2068      .010349                                   .001829                                   .002531
2069      .009764                                   .001798                                   .002487
2070      .009181                                   .001768                                   .002446
2071      .008603                                   .001739                                   .002407
2072      .008024                                   .001712                                   .002370
2073      .007438                                   .001687                                   .002334
2074      .006842                                   .001662                                   .002299
2075      .006235                                   .001637                                   .002266
2076      .005615                                   .001614                                   .002233
2077      .004981                                   .001591                                   .002202
2078      .004331                                   .001569                                   .002171
2079      .003663                                   .001548                                   .002141
2080      .002976                                   .001526                                   .002112
2081      .002268                                   .001506                                   .002084
2082      .001538                                   .001486                                   .002056
2083      .000782                                   .001466                                   .002028
2084      .000000                                   .000000                                   .000000
2085      .000000                                   .000000                                   .000000
2086      .000000                                   .000000                                   .000000
2087      .000000                                   .000000                                   .000000
2088      .000000                                   .000000                                   .000000
2089      .000000                                   .000000                                   .000000
2090      .000000                                   .000000                                   .000000
2091      .000000                                   .000000                                   .000000
2092      .000000                                   .000000                                   .000000
2093      .000000                                   .000000                                   .000000
2094      .000000                                   .000000                                   .000000
2095      .000000                                   .000000                                   .000000
2096      .000000                                   .000000                                   .000000
2097      .000000                                   .000000                                   .000000
2098      .000000                                   .000000                                   .000000
2099      .000000                                   .000000                                   .000000
2100      .000000                                   .000000                                   .000000
2101      .000000                                   .000000                                   .000000
2102      .000000                                   .000000                                   .000000
2103      .000000                                   .000000                                   .000000
2104      .000000                                   .000000                                   .000000
2105      .000000                                   .000000                                   .000000
2106      .000000                                   .000000                                   .000000
2107      .000000                                   .000000                                   .000000
2108      .000000                                   .000000                                   .000000
------------------------------------------------------------------------------------    -------------------------    ------------------------------------------------------------    ----------------------------------------------    ------------------------------------------------------------
