YEAR   Pens-Base    Pens-Refm    Cons-Base    Cons-Refm    Wage-Base    Wage-Refm    Cap--Base    Cap--Refm    Corp-Base    Corp-Refm    GDP--Base    GDP--Refm    GDP--Diff
2013   24.1983      24.1988      25.6461      25.6461      12.3547      12.3559      14.0000      14.0000      25.0000      25.0000       1.0593       1.0593      -0.0018
2014   24.2252      24.2256      26.2925      26.2925      12.5586      12.5599      14.0000      14.0000      25.0000      25.0000       1.0847       1.0847      -0.0016
2015   24.2858      24.2862      26.8179      26.8179      12.7149      12.7162      14.0000      14.0000      25.0000      25.0000       1.1096       1.1096      -0.0014
2016   24.3811      24.3814      27.3157      27.3156      12.8665      12.8678      14.0000      14.0000      25.0000      25.0000       1.1340       1.1340      -0.0012
2017   24.5145      24.5148      27.7908      27.7908      13.0178      13.0192      14.0000      14.0000      25.0000      25.0000       1.1578       1.1578      -0.0010
2018   24.6818      24.6821      28.2312      28.2312      13.1602      13.1616      14.0000      14.0000      25.0000      25.0000       1.1812       1.1812      -0.0009
2019   24.8880      24.8883      28.6333      28.6334      13.2944      13.2958      14.0000      14.0000      25.0000      25.0000       1.2041       1.2041      -0.0007
2020   25.1373      25.1375      29.0079      29.0079      13.4259      13.4273      14.0000      14.0000      25.0000      25.0000       1.2263       1.2263      -0.0006
2021   25.4252      25.4254      29.3542      29.3543      13.5533      13.5548      14.0000      14.0000      25.0000      25.0000       1.2480       1.2480      -0.0005
2022   25.7471      25.7472      29.6758      29.6759      13.6757      13.6772      14.0000      14.0000      25.0000      25.0000       1.2693       1.2693      -0.0004
2023   26.1093      26.1094      29.9779      29.9780      13.7993      13.8008      14.0000      14.0000      25.0000      25.0000       1.2900       1.2900      -0.0003
2024   26.5055      26.5057      30.2696      30.2697      13.9261      13.9276      14.0000      14.0000      25.0000      25.0000       1.3101       1.3101      -0.0002
2025   26.9187      26.9188      30.5671      30.5672      14.0597      14.0612      14.0000      14.0000      25.0000      25.0000       1.3299       1.3299      -0.0002
2026   27.3211      27.3212      30.8716      30.8717      14.1954      14.1969      14.0000      14.0000      25.0000      25.0000       1.3499       1.3499      -0.0001
2027   27.6953      27.6954      31.1905      31.1906      14.3339      14.3355      14.0000      14.0000      25.0000      25.0000       1.3702       1.3702      -0.0001
2028   28.0258      28.0258      31.5101      31.5102      14.4659      14.4674      14.0000      14.0000      25.0000      25.0000       1.3914       1.3914      -0.0001
2029   28.3150      28.3151      31.8346      31.8348      14.5946      14.5962      14.0000      14.0000      25.0000      25.0000       1.4131       1.4131       0.0000
2030   28.5602      28.5602      32.1633      32.1635      14.7184      14.7200      14.0000      14.0000      25.0000      25.0000       1.4356       1.4356       0.0000
2031   28.7591      28.7592      32.4941      32.4943      14.8368      14.8383      14.0000      14.0000      25.0000      25.0000       1.4589       1.4589       0.0000
2032   28.9085      28.9085      32.8344      32.8346      14.9531      14.9547      14.0000      14.0000      25.0000      25.0000       1.4830       1.4830       0.0000
2033   28.9972      28.9972      33.1817      33.1820      15.0642      15.0658      14.0000      14.0000      25.0000      25.0000       1.5083       1.5083      -0.0001
2034   29.0207      29.0207      33.5347      33.5350      15.1685      15.1701      14.0000      14.0000      25.0000      25.0000       1.5348       1.5348      -0.0001
2035   28.9824      28.9824      33.9145      33.9148      15.2743      15.2760      14.0000      14.0000      25.0000      25.0000       1.5626       1.5626      -0.0001
2036   28.8800      28.8800      34.1338      34.1342      15.3006      15.3022      14.0000      14.0000      25.0000      25.0000       1.5923       1.5923      -0.0002
2037   28.7355      28.7356      34.3980      34.3984      15.3367      15.3383      14.0000      14.0000      25.0000      25.0000       1.6233       1.6233      -0.0003
2038   28.5386      28.5387      34.6328      34.6332      15.3456      15.3472      14.0000      14.0000      25.0000      25.0000       1.6565       1.6565      -0.0004
2039   28.3300      28.3302      34.8669      34.8673      15.3487      15.3503      14.0000      14.0000      25.0000      25.0000       1.6905       1.6905      -0.0005
