YEAR   Pens-Base    Pens-Refm    Cons-Base    Cons-Refm    Wage-Base    Wage-Refm    Cap--Base    Cap--Refm    Corp-Base    Corp-Refm    GDP--Base    GDP--Refm    GDP--Diff
2013    3.1814       3.1814      21.0070      21.0066       4.1590       4.1592       3.0000       3.0000      30.0000      30.0000       0.4136       0.4136      -0.0013
2014    3.1673       3.1673      21.1396      21.1392       4.0977       4.0979       3.0000       3.0000      30.0000      30.0000       0.4395       0.4395      -0.0011
2015    3.1488       3.1489      21.2833      21.2829       4.0448       4.0449       3.0000       3.0000      30.0000      30.0000       0.4674       0.4674      -0.0008
2016    3.1264       3.1264      21.4647      21.4644       4.0045       4.0046       3.0000       3.0000      30.0000      30.0000       0.4976       0.4976      -0.0006
2017    3.1003       3.1003      21.6535      21.6532       3.9714       3.9715       3.0000       3.0000      30.0000      30.0000       0.5299       0.5299      -0.0004
2018    3.0701       3.0701      21.8802      21.8798       3.9499       3.9500       3.0000       3.0000      30.0000      30.0000       0.5644       0.5644      -0.0003
2019    3.0368       3.0369      22.1024      22.1021       3.9327       3.9328       3.0000       3.0000      30.0000      30.0000       0.6011       0.6011      -0.0001
2020    3.0016       3.0016      21.7009      21.7006       3.8153       3.8154       3.0000       3.0000      30.0000      30.0000       0.6401       0.6401       0.0000
2021    2.9516       2.9516      21.9012      21.9009       3.7955       3.7956       3.0000       3.0000      30.0000      30.0000       0.6845       0.6845       0.0001
2022    2.9017       2.9017      22.0573      22.0570       3.7716       3.7717       3.0000       3.0000      30.0000      30.0000       0.7315       0.7315       0.0002
2023    2.8504       2.8504      22.2100      22.2097       3.7521       3.7522       3.0000       3.0000      30.0000      30.0000       0.7815       0.7815       0.0003
2024    2.7985       2.7985      22.3890      22.3887       3.7406       3.7407       3.0000       3.0000      30.0000      30.0000       0.8347       0.8347       0.0004
2025    2.7476       2.7476      22.5918      22.5915       3.7366       3.7367       3.0000       3.0000      30.0000      30.0000       0.8909       0.8909       0.0005
2026    2.6984       2.6984      22.8581      22.8578       3.7460       3.7460       3.0000       3.0000      30.0000      30.0000       0.9502       0.9502       0.0005
2027    2.6520       2.6520      23.1431      23.1428       3.7616       3.7616       3.0000       3.0000      30.0000      30.0000       1.0121       1.0121       0.0006
2028    2.6081       2.6081      23.4705      23.4702       3.7865       3.7866       3.0000       3.0000      30.0000      30.0000       1.0766       1.0766       0.0006
2029    2.5676       2.5676      23.8143      23.8140       3.8170       3.8170       3.0000       3.0000      30.0000      30.0000       1.1434       1.1434       0.0006
2030    2.5310       2.5310      24.1839      24.1836       3.8542       3.8542       3.0000       3.0000      30.0000      30.0000       1.2124       1.2124       0.0006
2031    2.4986       2.4986      24.5125      24.5122       3.8891       3.8891       3.0000       3.0000      30.0000      30.0000       1.2834       1.2834       0.0006
2032    2.4692       2.4692      24.8471      24.8468       3.9271       3.9271       3.0000       3.0000      30.0000      30.0000       1.3567       1.3567       0.0006
2033    2.4423       2.4423      25.2084      25.2081       3.9704       3.9704       3.0000       3.0000      30.0000      30.0000       1.4322       1.4322       0.0005
2034    2.4181       2.4181      25.5770      25.5767       4.0157       4.0157       3.0000       3.0000      30.0000      30.0000       1.5099       1.5099       0.0005
2035    2.3969       2.3969      25.9725      25.9722       4.0659       4.0658       3.0000       3.0000      30.0000      30.0000       1.5896       1.5896       0.0004
2036    2.3790       2.3790      26.3389      26.3385       4.1126       4.1126       3.0000       3.0000      30.0000      30.0000       1.6712       1.6712       0.0004
2037    2.3632       2.3632      26.7135      26.7131       4.1608       4.1607       3.0000       3.0000      30.0000      30.0000       1.7552       1.7552       0.0003
2038    2.3485       2.3485      27.1036      27.1033       4.2110       4.2109       3.0000       3.0000      30.0000      30.0000       1.8416       1.8416       0.0002
2039    2.3346       2.3346      27.5270      27.5266       4.2655       4.2654       3.0000       3.0000      30.0000      30.0000       1.9305       1.9305       0.0001
2040    2.3220       2.3220      27.9799      27.9795       4.3239       4.3239       3.0000       3.0000      30.0000      30.0000       2.0217       2.0217      -0.0001
2041    2.3092       2.3092      28.4663      28.4659       4.3876       4.3876       3.0000       3.0000      30.0000      30.0000       2.1150       2.1150      -0.0002
2042    2.2961       2.2961      28.9914      28.9910       4.4572       4.4572       3.0000       3.0000      30.0000      30.0000       2.2104       2.2103      -0.0004
2043    2.2827       2.2828      29.4719      29.4715       4.5215       4.5215       3.0000       3.0000      30.0000      30.0000       2.3073       2.3073      -0.0005
2044    2.2681       2.2681      29.9778      29.9774       4.5897       4.5897       3.0000       3.0000      30.0000      30.0000       2.4067       2.4067      -0.0007
2045    2.2525       2.2525      30.4970      30.4966       4.6601       4.6601       3.0000       3.0000      30.0000      30.0000       2.5084       2.5084      -0.0009
2046    2.2361       2.2361      31.0355      31.0351       4.7338       4.7339       3.0000       3.0000      30.0000      30.0000       2.6125       2.6125      -0.0011
2047    2.2194       2.2194      31.6992      31.6988       4.8263       4.8263       3.0000       3.0000      30.0000      30.0000       2.7187       2.7187      -0.0012
2048    2.2273       2.2273      32.3709      32.3705       4.9240       4.9241       3.0000       3.0000      30.0000      30.0000       2.8250       2.8250      -0.0014
2049    2.2570       2.2570      32.5937      32.5933       4.9622       4.9622       3.0000       3.0000      30.0000      30.0000       2.9315       2.9315      -0.0016
2050    2.3063       2.3064      32.8246      32.8242       5.0046       5.0047       3.0000       3.0000      30.0000      30.0000       3.0384       3.0383      -0.0017
2051    2.3728       2.3729      33.0232      33.0227       5.0457       5.0458       3.0000       3.0000      30.0000      30.0000       3.1453       3.1453      -0.0018
2052    2.4539       2.4540      33.2266      33.2262       5.0902       5.0902       3.0000       3.0000      30.0000      30.0000       3.2528       3.2527      -0.0019
2053    2.5481       2.5482      33.4046      33.4042       5.1339       5.1340       3.0000       3.0000      30.0000      30.0000       3.3604       3.3603      -0.0020
2054    2.6533       2.6533      33.5812      33.5808       5.1798       5.1799       3.0000       3.0000      30.0000      30.0000       3.4684       3.4684      -0.0021
2055    2.7682       2.7683      33.7399      33.7395       5.2256       5.2257       3.0000       3.0000      30.0000      30.0000       3.5767       3.5766      -0.0022
2056    2.8918       2.8919      33.8851      33.8847       5.2717       5.2718       3.0000       3.0000      30.0000      30.0000       3.6853       3.6852      -0.0023
2057    3.0230       3.0231      34.0116      34.0112       5.3171       5.3172       3.0000       3.0000      30.0000      30.0000       3.7943       3.7943      -0.0023
2058    3.1602       3.1604      34.1376      34.1372       5.3640       5.3641       3.0000       3.0000      30.0000      30.0000       3.9041       3.9040      -0.0023
2059    3.3025       3.3026      34.3942      34.3938       5.4317       5.4317       3.0000       3.0000      30.0000      30.0000       4.0144       4.0143      -0.0024
2060    3.4844       3.4845      34.5166      34.5162       5.4857       5.4858       3.0000       3.0000      30.0000      30.0000       4.1213       4.1212      -0.0024
2061    3.6682       3.6684      34.6300      34.6296       5.5398       5.5398       3.0000       3.0000      30.0000      30.0000       4.2286       4.2285      -0.0024
2062    3.8577       3.8579      34.7346      34.7342       5.5936       5.5937       3.0000       3.0000      30.0000      30.0000       4.3363       4.3362      -0.0024
2063    4.0518       4.0519      34.8345      34.8342       5.6474       5.6475       3.0000       3.0000      30.0000      30.0000       4.4446       4.4445      -0.0024
2064    4.2483       4.2485      34.9554      34.9550       5.7048       5.7048       3.0000       3.0000      30.0000      30.0000       4.5533       4.5532      -0.0024
2065    4.4454       4.4456      35.0626      35.0622       5.7602       5.7603       3.0000       3.0000      30.0000      30.0000       4.6625       4.6624      -0.0024
2066    4.6393       4.6395      35.1632      35.1628       5.8144       5.8144       3.0000       3.0000      30.0000      30.0000       4.7725       4.7724      -0.0025
2067    4.8282       4.8284      35.2573      35.2569       5.8667       5.8668       3.0000       3.0000      30.0000      30.0000       4.8834       4.8833      -0.0025
2068    5.0104       5.0106      35.3427      35.3424       5.9164       5.9165       3.0000       3.0000      30.0000      30.0000       4.9957       4.9956      -0.0025
2069    5.1850       5.1852      35.4307      35.4304       5.9648       5.9649       3.0000       3.0000      30.0000      30.0000       5.1096       5.1094      -0.0025
2070    5.3508       5.3510      35.5347      35.5344       6.0137       6.0137       3.0000       3.0000      30.0000      30.0000       5.2253       5.2251      -0.0025
2071    5.5115       5.5117      35.6332      35.6329       6.0601       6.0602       3.0000       3.0000      30.0000      30.0000       5.3422       5.3420      -0.0025
2072    5.6659       5.6661      35.7403      35.7400       6.1062       6.1063       3.0000       3.0000      30.0000      30.0000       5.4606       5.4605      -0.0025
2073    5.8133       5.8136      35.8471      35.8468       6.1507       6.1508       3.0000       3.0000      30.0000      30.0000       5.5802       5.5800      -0.0025
2074    5.9535       5.9537      35.9524      35.9521       6.1935       6.1936       3.0000       3.0000      30.0000      30.0000       5.7007       5.7006      -0.0025
2075    6.0858       6.0860      36.0572      36.0569       6.2346       6.2347       3.0000       3.0000      30.0000      30.0000       5.8223       5.8222      -0.0025
2076    6.2111       6.2113      36.1525      36.1522       6.2728       6.2728       3.0000       3.0000      30.0000      30.0000       5.9448       5.9447      -0.0025
2077    6.3288       6.3291      36.2467      36.2465       6.3089       6.3090       3.0000       3.0000      30.0000      30.0000       6.0686       6.0684      -0.0025
2078    6.4381       6.4383      36.3355      36.3352       6.3424       6.3425       3.0000       3.0000      30.0000      30.0000       6.1935       6.1934      -0.0025
2079    6.5387       6.5389      36.4156      36.4154       6.3727       6.3728       3.0000       3.0000      30.0000      30.0000       6.3198       6.3196      -0.0025
2080    6.6301       6.6303      36.4870      36.4868       6.3998       6.3999       3.0000       3.0000      30.0000      30.0000       6.4477       6.4475      -0.0025
2081    6.7115       6.7117      36.5521      36.5519       6.4238       6.4239       3.0000       3.0000      30.0000      30.0000       6.5775       6.5774      -0.0026
2082    6.7825       6.7828      36.6473      36.6470       6.4507       6.4508       3.0000       3.0000      30.0000      30.0000       6.7095       6.7093      -0.0026
2083    6.8524       6.8526      36.8698      36.8696       6.4979       6.4980       3.0000       3.0000      30.0000      30.0000       6.8419       6.8417      -0.0026
2084    6.9181       6.9183      36.8874      36.8871       6.5091       6.5092       3.0000       3.0000      30.0000      30.0000       6.9680       6.9678      -0.0026
2085    6.9868       6.9870      36.9471      36.9468       6.5315       6.5316       3.0000       3.0000      30.0000      30.0000       7.0992       7.0990      -0.0027
2086    7.0537       7.0539      36.9953      36.9950       6.5514       6.5515       3.0000       3.0000      30.0000      30.0000       7.2317       7.2315      -0.0027
2087    7.1168       7.1171      37.0387      37.0385       6.5696       6.5697       3.0000       3.0000      30.0000      30.0000       7.3657       7.3655      -0.0027
2088    7.1757       7.1760      37.0768      37.0765       6.5859       6.5860       3.0000       3.0000      30.0000      30.0000       7.5017       7.5015      -0.0027
2089    7.2294       7.2296      37.1125      37.1122       6.6006       6.6007       3.0000       3.0000      30.0000      30.0000       7.6400       7.6398      -0.0028
2090    7.2780       7.2783      37.1510      37.1508       6.6147       6.6148       3.0000       3.0000      30.0000      30.0000       7.7806       7.7804      -0.0028
2091    7.3245       7.3247      37.1817      37.1815       6.6266       6.6268       3.0000       3.0000      30.0000      30.0000       7.9234       7.9231      -0.0028
2092    7.3677       7.3679      37.2170      37.2167       6.6383       6.6384       3.0000       3.0000      30.0000      30.0000       8.0688       8.0685      -0.0028
2093    7.4076       7.4078      37.2478      37.2476       6.6485       6.6486       3.0000       3.0000      30.0000      30.0000       8.2167       8.2164      -0.0028
2094    7.4437       7.4440      37.2787      37.2785       6.6580       6.6581       3.0000       3.0000      30.0000      30.0000       8.3672       8.3670      -0.0029
2095    7.4775       7.4778      37.3096      37.3094       6.6669       6.6670       3.0000       3.0000      30.0000      30.0000       8.5204       8.5201      -0.0029
2096    7.5088       7.5090      37.3411      37.3409       6.6753       6.6754       3.0000       3.0000      30.0000      30.0000       8.6761       8.6759      -0.0029
2097    7.5378       7.5381      37.3718      37.3716       6.6832       6.6833       3.0000       3.0000      30.0000      30.0000       8.8344       8.8342      -0.0029
2098    7.5643       7.5646      37.4009      37.4007       6.6904       6.6905       3.0000       3.0000      30.0000      30.0000       8.9953       8.9951      -0.0029
2099    7.5879       7.5882      37.4286      37.4284       6.6970       6.6972       3.0000       3.0000      30.0000      30.0000       9.1588       9.1585      -0.0030
2100    7.6085       7.6088      37.4591      37.4589       6.7039       6.7040       3.0000       3.0000      30.0000      30.0000       9.3248       9.3245      -0.0030
2101    7.6283       7.6285      37.4871      37.4869       6.7103       6.7104       3.0000       3.0000      30.0000      30.0000       9.4930       9.4927      -0.0030
2102    7.6470       7.6472      37.5116      37.5114       6.7161       6.7162       3.0000       3.0000      30.0000      30.0000       9.6634       9.6631      -0.0030
2103    7.6643       7.6646      37.5304      37.5301       6.7210       6.7211       3.0000       3.0000      30.0000      30.0000       9.8361       9.8358      -0.0030
2104    7.6793       7.6796      37.5446      37.5443       6.7252       6.7253       3.0000       3.0000      30.0000      30.0000      10.0112      10.0109      -0.0030
2105    7.6920       7.6922      37.5555      37.5553       6.7289       6.7290       3.0000       3.0000      30.0000      30.0000      10.1889      10.1886      -0.0030
2106    7.7025       7.7028      37.5618      37.5616       6.7320       6.7321       3.0000       3.0000      30.0000      30.0000      10.3691      10.3688      -0.0030
2107    7.7114       7.7116      37.5487      37.5485       6.7320       6.7321       3.0000       3.0000      30.0000      30.0000      10.5519      10.5515      -0.0031
2108    7.7183       7.7186      37.5747      37.5745       6.7382       6.7384       3.0000       3.0000      30.0000      30.0000      10.7385      10.7382      -0.0031
