YEAR   Pens-Base    Pens-Refm    Cons-Base    Cons-Refm    Wage-Base    Wage-Refm    Cap--Base    Cap--Refm    Corp-Base    Corp-Refm    GDP--Base    GDP--Refm    GDP--Diff
2013    8.9245       8.9245      17.7092      17.7092      15.8066      15.8066       8.0000       8.0000      30.0000      30.0000       0.3835       0.3835       0.0000
2014    9.1055       9.1055      17.6550      17.6550      16.0195      16.0196       8.0000       8.0000      30.0000      30.0000       0.3869       0.3869       0.0000
2015    9.2631       9.2631      17.5265      17.5265      16.1710      16.1711       8.0000       8.0000      30.0000      30.0000       0.3901       0.3901       0.0000
2016    9.3954       9.3954      17.4100      17.4101      16.3229      16.3230       8.0000       8.0000      30.0000      30.0000       0.3934       0.3934       0.0001
2017    9.5103       9.5103      17.2974      17.2974      16.4727      16.4728       8.0000       8.0000      30.0000      30.0000       0.3967       0.3967       0.0001
2018    9.6160       9.6160      17.2038      17.2038      16.6389      16.6389       8.0000       8.0000      30.0000      30.0000       0.3999       0.3999       0.0001
2019    9.7178       9.7178      17.0811      17.0812      16.7789      16.7790       8.0000       8.0000      30.0000      30.0000       0.4029       0.4029       0.0001
2020    9.8200       9.8200      16.8587      16.8587      16.8223      16.8224       8.0000       8.0000      30.0000      30.0000       0.4058       0.4058       0.0001
2021    9.9030       9.9030      16.7788      16.7788      16.9445      16.9446       8.0000       8.0000      30.0000      30.0000       0.4099       0.4099       0.0001
2022   10.0192      10.0192      16.6405      16.6405      17.0518      17.0519       8.0000       8.0000      30.0000      30.0000       0.4129       0.4129       0.0001
2023   10.1494      10.1494      16.4823      16.4823      17.1478      17.1479       8.0000       8.0000      30.0000      30.0000       0.4155       0.4155       0.0001
2024   10.2952      10.2951      16.3008      16.3008      17.2204      17.2205       8.0000       8.0000      30.0000      30.0000       0.4181       0.4181       0.0001
2025   10.4441      10.4441      16.1149      16.1149      17.2840      17.2841       8.0000       8.0000      30.0000      30.0000       0.4206       0.4206       0.0002
2026   10.6012      10.6011      15.9272      15.9273      17.3434      17.3435       8.0000       8.0000      30.0000      30.0000       0.4230       0.4230       0.0002
2027   10.7743      10.7742      15.7290      15.7290      17.3928      17.3929       8.0000       8.0000      30.0000      30.0000       0.4252       0.4252       0.0002
2028   10.9699      10.9699      15.5413      15.5413      17.4518      17.4519       8.0000       8.0000      30.0000      30.0000       0.4273       0.4273       0.0002
2029   11.1877      11.1876      15.3479      15.3480      17.5092      17.5093       8.0000       8.0000      30.0000      30.0000       0.4293       0.4293       0.0002
2030   11.4220      11.4220      15.1416      15.1416      17.5591      17.5591       8.0000       8.0000      30.0000      30.0000       0.4310       0.4310       0.0002
2031   11.6666      11.6665      14.9282      14.9282      17.6035      17.6036       8.0000       8.0000      30.0000      30.0000       0.4325       0.4325       0.0002
2032   11.9114      11.9113      14.7087      14.7087      17.6396      17.6397       8.0000       8.0000      30.0000      30.0000       0.4340       0.4340       0.0002
2033   12.1438      12.1438      14.5030      14.5031      17.6809      17.6810       8.0000       8.0000      30.0000      30.0000       0.4357       0.4357       0.0002
2034   12.3533      12.3532      14.3116      14.3116      17.7280      17.7281       8.0000       8.0000      30.0000      30.0000       0.4376       0.4376       0.0002
2035   12.5357      12.5356      14.1280      14.1281      17.7714      17.7714       8.0000       8.0000      30.0000      30.0000       0.4396       0.4396       0.0002
2036   12.6809      12.6809      13.8951      13.8951      17.7320      17.7321       8.0000       8.0000      30.0000      30.0000       0.4421       0.4421       0.0001
2037   12.7923      12.7922      13.6805      13.6806      17.6921      17.6922       8.0000       8.0000      30.0000      30.0000       0.4450       0.4450       0.0001
2038   12.8676      12.8676      13.5134      13.5135      17.6834      17.6835       8.0000       8.0000      30.0000      30.0000       0.4484       0.4484       0.0001
2039   12.9233      12.9233      13.3666      13.3666      17.6864      17.6865       8.0000       8.0000      30.0000      30.0000       0.4520       0.4520       0.0001
2040   12.9658      12.9658      13.2352      13.2353      17.6978      17.6979       8.0000       8.0000      30.0000      30.0000       0.4557       0.4557       0.0001
2041   12.9980      12.9980      13.1154      13.1155      17.7144      17.7145       8.0000       8.0000      30.0000      30.0000       0.4595       0.4595       0.0001
2042   13.0183      13.0183      13.0042      13.0042      17.7312      17.7313       8.0000       8.0000      30.0000      30.0000       0.4634       0.4634       0.0001
2043   13.0261      13.0261      12.9027      12.9028      17.7503      17.7504       8.0000       8.0000      30.0000      30.0000       0.4673       0.4673       0.0001
2044   13.0327      13.0327      12.8023      12.8023      17.7619      17.7620       8.0000       8.0000      30.0000      30.0000       0.4712       0.4712       0.0001
2045   13.0223      13.0223      12.7107      12.7107      17.7737      17.7738       8.0000       8.0000      30.0000      30.0000       0.4753       0.4753       0.0000
2046   12.9993      12.9993      12.6264      12.6264      17.7919      17.7920       8.0000       8.0000      30.0000      30.0000       0.4794       0.4794       0.0000
2047   12.9746      12.9746      12.5318      12.5319      17.7978      17.7979       8.0000       8.0000      30.0000      30.0000       0.4834       0.4834       0.0000
2048   12.9489      12.9489      12.4459      12.4460      17.8095      17.8095       8.0000       8.0000      30.0000      30.0000       0.4875       0.4875       0.0000
2049   12.9234      12.9234      12.3517      12.3518      17.8069      17.8070       8.0000       8.0000      30.0000      30.0000       0.4916       0.4916       0.0000
2050   12.8939      12.8939      12.2624      12.2624      17.8024      17.8025       8.0000       8.0000      30.0000      30.0000       0.4957       0.4957       0.0000
2051   12.8592      12.8592      12.1749      12.1750      17.7921      17.7922       8.0000       8.0000      30.0000      30.0000       0.4999       0.4999       0.0000
