YEAR   Pens-Base    Pens-Refm    Cons-Base    Cons-Refm    Wage-Base    Wage-Refm    Cap--Base    Cap--Refm    Corp-Base    Corp-Refm    GDP--Base    GDP--Refm    GDP--Diff
2013    8.9372       8.9372      16.9398      16.9398      14.8679      14.8679      11.0000      11.0000      35.0000      35.0000       1.0000       1.0000      -0.0002
2014    9.0844       9.0844      17.4960      17.4960      15.1686      15.1686      11.0000      11.0000      35.0000      35.0000       1.0287       1.0287      -0.0002
2015    9.2457       9.2457      17.9941      17.9941      15.4229      15.4229      11.0000      11.0000      35.0000      35.0000       1.0570       1.0570      -0.0002
2016    9.4267       9.4267      18.4908      18.4908      15.6823      15.6823      11.0000      11.0000      35.0000      35.0000       1.0846       1.0846      -0.0002
2017    9.6293       9.6293      18.9847      18.9847      15.9453      15.9453      11.0000      11.0000      35.0000      35.0000       1.1113       1.1113      -0.0002
2018    9.8527       9.8527      19.4752      19.4752      16.2115      16.2115      11.0000      11.0000      35.0000      35.0000       1.1373       1.1373      -0.0002
2019   10.0926      10.0926      19.9575      19.9575      16.4765      16.4765      11.0000      11.0000      35.0000      35.0000       1.1625       1.1625      -0.0002
2020   10.3426      10.3426      20.4320      20.4320      16.7389      16.7389      11.0000      11.0000      35.0000      35.0000       1.1872       1.1872      -0.0002
2021   10.5983      10.5983      20.8896      20.8896      16.9911      16.9911      11.0000      11.0000      35.0000      35.0000       1.2113       1.2113      -0.0002
2022   10.8500      10.8500      21.3534      21.3534      17.2413      17.2414      11.0000      11.0000      35.0000      35.0000       1.2356       1.2356      -0.0002
2023   11.0939      11.0939      21.7945      21.7945      17.4717      17.4717      11.0000      11.0000      35.0000      35.0000       1.2599       1.2599      -0.0002
2024   11.3204      11.3204      22.2155      22.2155      17.6805      17.6805      11.0000      11.0000      35.0000      35.0000       1.2846       1.2846      -0.0002
2025   11.5227      11.5227      22.6210      22.6210      17.8694      17.8694      11.0000      11.0000      35.0000      35.0000       1.3097       1.3097      -0.0002
2026   11.6982      11.6983      23.0191      23.0191      18.0442      18.0442      11.0000      11.0000      35.0000      35.0000       1.3352       1.3352      -0.0002
2027   11.8480      11.8480      23.4112      23.4112      18.2087      18.2088      11.0000      11.0000      35.0000      35.0000       1.3611       1.3611      -0.0002
2028   11.9738      11.9738      23.7955      23.7955      18.3649      18.3649      11.0000      11.0000      35.0000      35.0000       1.3872       1.3872      -0.0002
2029   12.0759      12.0759      24.1671      24.1671      18.5119      18.5119      11.0000      11.0000      35.0000      35.0000       1.4133       1.4133      -0.0002
2030   12.1595      12.1595      24.5152      24.5152      18.6451      18.6451      11.0000      11.0000      35.0000      35.0000       1.4392       1.4392      -0.0002
2031   12.2325      12.2325      24.8441      24.8441      18.7688      18.7688      11.0000      11.0000      35.0000      35.0000       1.4648       1.4648      -0.0002
2032   12.3027      12.3027      25.1497      25.1497      18.8826      18.8826      11.0000      11.0000      35.0000      35.0000       1.4899       1.4899      -0.0002
2033   12.3687      12.3687      25.4370      25.4370      18.9883      18.9883      11.0000      11.0000      35.0000      35.0000       1.5147       1.5147      -0.0002
2034   12.4233      12.4233      25.7060      25.7060      19.0847      19.0847      11.0000      11.0000      35.0000      35.0000       1.5392       1.5392      -0.0002
2035   12.4578      12.4578      25.9575      25.9575      19.1684      19.1684      11.0000      11.0000      35.0000      35.0000       1.5640       1.5640      -0.0002
2036   12.4679      12.4679      26.0881      26.0881      19.1606      19.1606      11.0000      11.0000      35.0000      35.0000       1.5897       1.5897      -0.0002
2037   12.4687      12.4687      26.2133      26.2133      19.1508      19.1508      11.0000      11.0000      35.0000      35.0000       1.6155       1.6155      -0.0002
2038   12.4732      12.4733      26.3330      26.3331      19.1421      19.1421      11.0000      11.0000      35.0000      35.0000       1.6410       1.6410      -0.0002
2039   12.4910      12.4910      26.4547      26.4547      19.1399      19.1399      11.0000      11.0000      35.0000      35.0000       1.6663       1.6663      -0.0002
2040   12.5313      12.5313      26.5782      26.5782      19.1464      19.1464      11.0000      11.0000      35.0000      35.0000       1.6911       1.6911      -0.0002
2041   12.6000      12.6000      26.7041      26.7041      19.1634      19.1634      11.0000      11.0000      35.0000      35.0000       1.7153       1.7153      -0.0002
2042   12.7004      12.7005      26.8313      26.8313      19.1913      19.1913      11.0000      11.0000      35.0000      35.0000       1.7388       1.7388      -0.0002
2043   12.8291      12.8291      26.9548      26.9549      19.2263      19.2263      11.0000      11.0000      35.0000      35.0000       1.7615       1.7615      -0.0002
