,ALTER,USA,EU,JAPAN,RUSSIA
0,0,1.0,1.0,1.0,0.43
1,1,1.0,0.3514567,1.0,0.43
2,2,1.0,0.23168160000000002,1.0,0.43
3,3,1.0,0.2209518,1.0,0.43
4,4,1.0,0.22348710000000002,1.0,0.43
5,5,1.0,0.2342054,1.0,0.43
6,6,1.0,0.2327775,1.0,0.43
7,7,1.0,0.2310626,1.0,0.43
8,8,1.0,0.23632350000000002,1.0,0.43
9,9,1.0,0.2396619,1.0,0.43
10,10,1.0,0.24737640000000002,1.0,0.43
11,11,1.0,0.2579917,1.0,0.43
12,12,1.0,0.2678368,1.0,0.43
13,13,1.0,0.2751582,1.0,0.43
14,14,1.0,0.2766405,1.0,0.43
15,15,0.93,0.2750762,0.8532751000000001,0.43
16,16,0.93,0.27038390000000007,0.8532751000000001,0.43
17,17,0.93,0.2663261,0.8532751000000001,0.43
18,18,0.93,0.2650406,0.8532751000000001,0.43
19,19,0.93,0.2675744,0.8532751000000001,0.43
20,20,0.88,0.27515,0.8532751000000001,0.63
21,21,0.88,0.2828022,0.8532751000000001,0.63
22,22,0.88,0.29206859999999996,0.8532751000000001,0.63
23,23,0.88,0.3028917,0.8532751000000001,0.63
24,24,0.88,0.31446009999999996,0.8532751000000001,0.63
25,25,0.88,0.32608159999999997,0.8532751000000001,0.63
26,26,0.88,0.33658330000000003,0.8532751000000001,0.63
27,27,0.88,0.34603520000000004,0.8532751000000001,0.63
28,28,0.88,0.3534491,0.8532751000000001,0.63
29,29,0.88,0.3586787,0.8532751000000001,0.63
30,30,0.88,0.361683,0.8532751000000001,0.63
31,31,0.88,0.3627086,0.8532751000000001,0.63
32,32,0.88,0.36171640000000005,0.8532751000000001,0.63
33,33,0.88,0.3596611,0.8532751000000001,0.63
34,34,0.88,0.3570173,0.8532751000000001,0.63
35,35,0.88,0.3543473,0.8532751000000001,0.63
36,36,0.88,0.3521033,0.8532751000000001,0.63
37,37,0.88,0.3510747,0.8532751000000001,0.63
38,38,0.88,0.35124629999999996,0.8532751000000001,0.63
39,39,0.88,0.35285229999999995,0.8532751000000001,0.63
40,40,0.88,0.3558901,0.8532751000000001,0.63
41,41,0.88,0.36083309999999996,0.8532751000000001,0.63
42,42,0.88,0.3674186,0.8532751000000001,0.63
43,43,0.88,0.3756815,0.8532751000000001,0.63
44,44,0.88,0.3855446,0.8532751000000001,0.63
45,45,0.88,0.39714540000000004,2.120524,0.63
46,46,0.88,0.40964809999999996,2.120524,0.63
47,47,0.88,0.4235215,2.120524,0.63
48,48,0.88,0.4386874,2.120524,0.63
49,49,0.88,0.4555089,2.120524,0.63
50,50,1.14,0.47386809999999996,2.120524,1.0
51,51,1.14,0.4949206,2.120524,1.0
52,52,1.14,0.5165711,2.120524,1.0
53,53,1.14,0.5390914000000001,2.120524,1.0
54,54,1.14,0.5601189,2.120524,1.0
55,55,1.14,0.579056,2.120524,1.0
56,56,1.14,0.5942125,2.120524,1.0
57,57,1.14,0.6083103,2.120524,1.0
58,58,1.14,0.6207168000000001,2.120524,1.0
59,59,1.14,0.6350174,2.120524,1.0
60,60,1.14,0.6547208999999999,2.120524,1.0
61,61,1.14,0.6832104,2.120524,1.0
62,62,1.14,0.7211725,2.120524,1.0
63,63,1.14,0.7701834,2.120524,1.0
64,64,1.14,0.8129911,2.120524,1.0
65,65,5.69,0.8587171,5.781659400000001,1.5
66,66,5.69,0.9031790999999999,5.781659400000001,1.5
67,67,5.69,0.9431531999999999,5.781659400000001,1.5
68,68,5.69,0.9751421999999998,5.781659400000001,1.5
69,69,5.69,1.014397,5.781659400000001,1.5
70,70,5.7,1.0498993,6.6078602,1.5
71,71,5.7,1.0834807,6.6078602,1.5
72,72,5.7,1.1166821000000002,6.6078602,1.5
73,73,5.7,1.1521006,6.6078602,1.5
74,74,5.7,1.1906303999999999,6.6078602,1.5
75,75,9.68,1.2300479,7.3283843,1.96
76,76,9.68,1.269625,7.3283843,1.96
77,77,9.68,1.3095097,7.3283843,1.96
78,78,9.68,1.3488492,7.3283843,1.96
79,79,9.68,1.3862796,7.3283843,1.96
80,80     13.10,1.4221971000000002,7.3283843,1.99,
81,81     13.10,1.4552736000000002,7.3283843,1.99,
82,82     13.10,1.4834428999999998,7.3283843,1.99,
83,83     13.10,1.5080293,7.3283843,1.99,
84,84     13.10,1.5274178999999999,7.3283843,1.99,
85,85     13.10,1.5439113000000002,7.3283843,1.99,
86,86     13.10,1.5594416000000002,7.3283843,1.99,
87,87     13.10,1.5760953000000002,7.3283843,1.99,
88,88     13.10,1.590522,7.3283843,1.99,
89,89     13.10,1.6028765,7.3283843,1.99,
90,90     13.10,1.6118603,7.3283843,1.99,
