ALTER,USA,EU,JAPAN,CHINA,INDIA,RUSSIA,KOREA
0.0,3846.930453,4055.635963,1012.399284,18227.349287,28239.174629,1761.629,353.567758
1.0,3839.377738,4037.3895909999997,741.5964859999999,19104.248107,25443.170740999998,1747.519,416.07271299999996
2.0,3838.394476,4048.8544799999995,700.367949,19104.248107,25399.010247,1702.025,466.486435
3.0,3852.197739,4058.371146,669.704306,19260.448107,25310.68926,1597.009,506.602753
4.0,3879.052789,4074.261369,647.332633,19572.848106999998,25178.207778,1467.413,538.0443849999999
5.0,3915.574251,4113.452369,631.3103609999998,20041.448107,25020.898312999998,1444.529,562.272418
6.0,3959.250536,4180.753479999999,620.5716170000001,20353.848106999998,24852.597902,1488.725,580.595525
7.0,4012.396154,4267.401258,615.605464,20510.048107,24656.820124,1463.343,594.1789610000001
8.0,4067.3366549999996,4341.552258,617.611765,20845.336996,24397.74605,1378.021,604.053319
9.0,4108.161290999999,4395.111924,627.8136470000002,21515.914774,24060.655515000002,1285.023,611.1230419999999
10.0,4113.775243,4414.472369,646.021245,22521.781441,23684.79461,1276.758,616.174703
11.0,4084.3044700000005,4420.990924000001,671.0804449999999,23192.359218999998,23324.605309,1255.918,619.88505
12.0,4038.00979,4413.674146,701.3589129999999,23527.648107,22996.234938999998,1307.626,622.828805
13.0,4001.2078619999997,4411.450591,735.77967,23153.025885,22661.864568,1279.377,625.486237
14.0,3984.5127869999997,4413.380258,772.8014300000001,22403.781441,22285.675268,1332.208,628.2504849999999
15.0,3926.15527,4441.678813,809.320961,21279.914774,21884.307366999998,1398.384,631.434658
16.0,3944.97985,4496.803258,840.8719970000001,20530.67033,21501.681852,1455.061,635.278684
17.0,3974.088393,4580.910035,864.4745880000002,20156.048107,21148.00284,1450.829,639.955928
18.0,3995.640418,4653.87748,881.085508,20098.692552,20781.015186,1676.347,645.579576
19.0,3987.249961,4703.862035,895.5633040000002,19983.981441,20362.899959000002,1840.966,652.208776
20.0,3927.580294,4720.164258,913.3290590000001,19811.914774,19915.281028999998,2074.805,659.8545429999999
21.0,3822.294529,4737.856369,938.3483820000001,19697.203663,19489.721358000003,2226.007,668.485426
22.0,3697.0682450000004,4774.9293689999995,972.0107409999998,19639.848106999998,19100.400371,2402.44,678.032944
23.0,3585.9283560000003,4850.594035,1014.4329189999999,20145.425885,18702.054691999998,2562.733,688.396774
24.0,3506.723307,4958.843146,1062.832659,21156.581441,18252.429177,2579.776,699.449709
25.0,3470.825368,5099.707924,1110.890195,22673.314774000002,17774.39214,2489.976,711.042379
26.0,3484.0002700000005,5263.387479999999,1148.1594130000003,23684.47033,17327.523828,2559.151,723.007729
27.0,3556.53006,5437.300369,1164.931915,24190.048107,16937.449753999997,2606.29,735.165268
28.0,3668.5252450000003,5599.295035,1156.772113,24311.936996,16564.671975999998,2474.401,747.32507
29.0,3782.9533189999997,5730.208702,1126.1965809999997,24555.714774,16163.927119999998,2299.84,759.291548
